File,Code,Level,Prompt,Multiplier,Files
ACABA-10,ACABA,10,A pop art painting with a blue background of a smiley person standing alongside a small group of people watching a fluing alicorn,1,4
ACABB-1,ACABB,1,An oil painting with a blue background of a blissful person holding a vase of flowers with a butterfly flying around standing in a small crowd,1,4
ACABB-2,ACABB,2,An oil painting with a blue background of a blissful person wearing a fish print sweater standing in a small crowd,2,8
ACABB-3,ACABB,3,An oil painting with a blue background of a blissful person  holding a small-sized hen standing in a small crowd,2,8
ACABB-4,ACABB,4,An oil painting with a blue background of a blissful person touching a giraffe while standing in a small crowd,2,8
ACABB-5,ACABB,5,An oil painting with a blue background of a blissful person holding their pet monkey standing in a small crowd,2,8
ACABB-6,ACABB,6,An oil painting with a blue background of a blissful person standing in a small crowd watching some racing leopards,1,4
ACABB-7,ACABB,7,An oil painting with a blue background of a blissful person standing in a small crowd at a dolphin show,1,4
ACABB-8,ACABB,8,An oil painting with a blue background of a blissful person standing in a small crowd feeding some zebras,1,4
ACABB-9,ACABB,9,An oil painting with a blue background of a blissful person standing in a small crowd watching a huge elephant cross the road,1,4
ACABB-10,ACABB,10,An oil painting with a blue background of a blissful person touching a unicorn horn standing in a small crowd,1,4
ACABC-1,ACABC,1,A basquiat abstract painting of a cheerful person sitting with a vase of flowers next to a few people and some flying butterflies with a blue background,1,4
ACABC-2,ACABC,2,A basquiat abstract painting of a cheerful person sitting next to a fish pond with a few people in a blue background,3,12
ACABC-3,ACABC,3,A basquiat abstract painting of a cheerful person sitting next to a few people in a hen shed with a blue background,2,8
ACABC-4,ACABC,4,A basquiat abstract painting of a cheerful person sitting with a stuffed giraffe next to a few people with a blue background,2,8
ACABC-5,ACABC,5,A basquiat abstract painting of a cheerful person sitting with a group of 3 monkeys next to a few people with a blue background,2,8
ACABC-6,ACABC,6,A basquiat abstract painting of a cheerful person sitting with a friendly leopard next to a few people with a blue background,1,4
ACABC-7,ACABC,7,A basquiat abstract painting of a cheerful person sitting at a dolphin show next to a few people with a blue background,1,4
ACABC-8,ACABC,8,An abstract painting with a blue background of a cheerful person sitting next to 3 people at a zebra zoo ,1,4
ACABC-9,ACABC,9,An abstract painting with a blue background of a cheerful person sitting with 3 people at an elephant sanctuary,1,4
ACABC-10,ACABC,10,An abstract painting with a blue background of a cheerful person sitting with 3 people at a unicorn exhibition ,1,4
ACACA-1,ACACA,1,A pop art painting with a blue background of a blissful person standing at a party observing a vase of flowers with some flying butterflies,1,4
ACACA-2,ACACA,2,A pop art painting with a blue background of an excited person standing with a crowd of people looking at a fish tank,2,8
ACACA-3,ACACA,3,A pop art painting with a blue background of a happy person standing with a crowd of people wearing a hen-shaped hat,1,4
ACACA-4,ACACA,4,A pop art painting with a blue background of a blissful person standing next to a large crowd of people with hens nearby,1,4
ACACA-5,ACACA,5,A pop art painting with a blue background of a happy person standing with many people watching playful monkeys,1,4
ACACA-6,ACACA,6,A pop art painting with a blue background of a happy person standing with many people with a pet leopard,1,4
ACACA-7,ACACA,7,A pop art painting with a blue background of a happy person standing with many people at a dolphin-themed party,1,4
ACACA-8,ACACA,8,A pop art painting with a blue background of a blissful person standing with a crowd of people watching zebras grazing,1,4
ACACA-9,ACACA,9,A pop art painting with a blue background of a blissful person standing with a crowd of people entertaining elephants,1,4
ACACA-10,ACACA,10,A pop art painting with a blue background of a happy person standing with a crowd of people at a unicorn-themed party,1,4
ACACB-1,ACACB,1,An oil painting of a happy person sitting with a vase of flowers with some flying butterflies in the middle of a large crowd with a blue background,2,8
ACACB-2,ACACB,2,An oil painting with a blue background of a happy person sitting with a fish bowl in the middle of a large crowd of people,1,4
ACACB-3,ACACB,3,An oil painting with a blue background of a happy person carrying two hens while sitting with a large crowd of people ,2,8
ACACB-4,ACACB,4,An oil painting of a happy person sitting and looking at a giraffe in the midst of a large crowd with a blue background,1,4
ACACB-5,ACACB,5,An oil painting with a blue background of a happy person sitting with a large crowd of people under a tree with monkeys,1,4
ACACB-6,ACACB,6,An oil painting of a happy person sitting away from a hungry leopard in the midst of a large crowd with a blue background,1,4
ACACB-7,ACACB,7,An oil painting with a blue background of an excited person sitting with a large crowd of people watching dolphins,1,4
ACACB-8,ACACB,8,An oil painting with a blue background of an excited person sitting with a large crowd of people next to a zebra on a bench,1,4
ACACB-9,ACACB,9,An oil painting with a blue background of an excited person sitting around 2 baby elephants in the midst of a large crowd of people ,1,4
ACACB-10,ACACB,10,An oil painting with a blue background of an excited person sitting with a unicorn stuffed toy in the midst of a large crowd of people ,1,4
ACACC-1,ACACC,1,A picasso abstract painting with a blue background of a cheerful person holding a cute flying bee toy standing at a casual gathering,2,8
ACACC-2,ACACC,2,A picasso painting with a blue background of a smiling person standing with a small group of people observing some guppies,3,12
ACACC-3,ACACC,3,A picasso painting with a blue background of a smiling person standing with a small group of people observing a huge red hen,3,12
ACACC-4,ACACC,4,A picasso painting with a blue background of a joyful person standing with 4 people in a giraffe centre,3,12
ACACC-5,ACACC,5,A picasso painting with a blue background of a joyful person standing with 4 people in a monkey zoo,2,8
ACACC-6,ACACC,6,A picasso painting with a blue background of a joyful person standing with 3 people playing with leopard cubs,2,8
ACACC-7,ACACC,7,A picasso painting with a blue background of a joyful person standing with 3 people around dolphins swimming,1,4
ACACC-8,ACACC,8,A picasso painting with a blue background of a joyful person standing with 3 people in a field with zebras,1,4
ACACC-9,ACACC,9,A picasso painting with a blue background of a joyful person standing with 3 people at an elephant circus,1,4
ACACC-10,ACACC,10,A picasso painting with a blue background of a joyful person standing with 3 people observing galloping silver unicorns,1,4
ACBAA-1,ACBAA,1,A pop art painting with a blue background of a happy person walking alone with butterflies at a slow speed,1,4
ACBAA-2,ACBAA,2,A pop art painting with a blue background of a joyful person carrying a fish bowl while slowly walking alone,1,4
ACBAA-3,ACBAA,3,A pop art painting with a blue background of a joyful person holding their pet chick and slowly walking alone,2,8
ACBAA-4,ACBAA,4,A pop art painting with a blue background of a joyful person slowly walking alone in a giraffe centre,1,4
ACBAA-5,ACBAA,5,A pop art painting with a blue background of a happy person holding their pet monkey walking alone at a slow speed,1,4
ACBAA-6,ACBAA,6,A pop art painting with a blue background of a joyful person slowly walking alone towards a leopard,1,4
ACBAA-7,ACBAA,7,A pop art painting with a blue background of a joyful person slowly walking alone while watching some dolphins,1,4
ACBAA-8,ACBAA,8,A pop art painting with a blue background of a joyful person slowly walking alone near grazing zebras,1,4
ACBAA-9,ACBAA,9,A pop art painting with a blue background of a cheerful person slowly walking alone near some elephants,1,4
ACBAA-10,ACBAA,10,A pop art painting with a blue background of a cheerful person slowly walking alone near an alicorn,1,4
ACBAB-1,ACBAB,1,An oil painting with a blue background of a blissful person jogging alone near a flower field with butterflies,1,4
ACBAB-2,ACBAB,2,An oil painting with a blue background of a joyful person jogging alone near a fish tank,1,4
ACBAB-3,ACBAB,3,An oil painting with a blue background of an excited person jogging alone next to their pet hen,1,4
ACBAB-4,ACBAB,4,An oil painting with a blue background of an excited person jogging alone next to some giraffes,1,4
ACBAB-5,ACBAB,5,An oil painting with a blue background of a cheerful person jogging alone with their pet monkey,1,4
ACBAB-6,ACBAB,6,An oil painting with a blue background of an excited person jogging alone near some leopards,1,4
ACBAB-7,ACBAB,7,An oil painting with a blue background of an excited person jogging alone at a dolphin show,1,4
ACBAB-8,ACBAB,8,An oil painting with a blue background of an excited person jogging alone towards a zebra,1,4
ACBAB-9,ACBAB,9,An oil painting with a blue background of an excited person jogging alone towards an elephant,1,4
ACBAB-10,ACBAB,10,An oil painting with a blue background of an excited person jogging alone towards an alicorn,1,4
ACBAC-1,ACBAC,1,An basquiat abstract painting with a blue background of an isolated smiley person walking slowly towards some butterflies in the distance,1,4
ACBAC-2,ACBAC,2,An abstract painting with a blue background of a smiling person slowly walking alone towards a fish carving,1,4
ACBAC-3,ACBAC,3,An abstract painting with a blue background of a smiling person slowly walking alone towards a broody hen,2,8
ACBAC-4,ACBAC,4,An abstract painting with a blue background of a smiling person slowly walking alone near a giraffe,2,8
ACBAC-5,ACBAC,5,An abstract painting with a blue background of a smiling person slowly walking alone while looking at a monkey,1,4
ACBAC-6,ACBAC,6,An abstract painting with a blue background of a smiling person slowly walking alone while staring at a big leopardess,1,4
ACBAC-7,ACBAC,7,An abstract painting with a blue background of a smiling person slowly walking alone towards dolphins at the shore,1,4
ACBAC-8,ACBAC,8,An abstract painting with a blue background of a smiling person slowly walking alone towards a zebra,1,4
ACBAC-9,ACBAC,9,An abstract painting with a blue background of a smiling person slowly walking alone with a circus elephant,1,4
ACBAC-10,ACBAC,10,An abstract painting with a blue background of a smiling person slowly walking alone with a white unicorn,1,4
ACBBA-1,ACBBA,1,A pop art painting with a blue background of a happy person dressed in a butterfly sweatshirt jogging with a small group of people,1,4
ACBBA-2,ACBBA,2,A pop art painting with a blue background of a cheerful person jogging at a fish market with a small group of people,1,4
ACBBA-3,ACBBA,3,A pop art painting with a blue background of a cheerful person jogging with a small group of people near poultry,1,4
ACBBA-4,ACBBA,4,A pop art painting with a blue background of a cheerful person jogging with a small group of people at a park with giraffes,1,4
ACBBA-5,ACBBA,5,A pop art painting with a blue background of a cheerful person jogging with a small group of people near monkeys eating ,1,4
ACBBA-6,ACBBA,6,A pop art painting with a blue background of a happy person jogging with a small group of people in a field with leopard cubs,1,4
ACBBA-7,ACBBA,7,A pop art painting with a blue background of a cheerful person jogging with a small group of people near some bottleneck dolphins,1,4
ACBBA-8,ACBBA,8,A pop art painting with a blue background of a cheerful person jogging with a small group of people near a grazing zebra,1,4
ACBBA-9,ACBBA,9,A pop art painting with a blue background of a cheerful person jogging with a small group of people near a grey elephant,1,4
ACBBA-10,ACBBA,10,A pop art painting with a blue background of a happy person jogging with a small group of people near a winged silver unicorn,1,4
ACBBB-1,ACBBB,1,An oil painting with a blue background of a blissful person walking with a small group of people with butterflies around them,2,8
ACBBB-2,ACBBB,2,An oil painting with a blue background of an excited person walking with a small group of people while holding a fish in the hand,2,8
ACBBB-3,ACBBB,3,An oil painting with a blue background of an excited person carrying some chicks while walking with a small group of people,2,8
ACBBB-4,ACBBB,4,An oil painting with a blue background of an excited person walking with a small group of people in a giraffe centre,1,4
ACBBB-5,ACBBB,5,An oil painting with a blue background of an excited person walking with a small group of people beside some monkeys,1,4
ACBBB-6,ACBBB,6,An oil painting with a blue background of an excited person walking with a small group of people at a park with leopards,2,8
ACBBB-7,ACBBB,7,An oil painting with a blue background of a cheerful person walking with a small group of people and holding a dolphin carving,1,4
ACBBB-8,ACBBB,8,An oil painting with a blue background of a cheerful person walking with a small group of people next to feeding zebras,1,4
ACBBB-9,ACBBB,9,An oil painting with a blue background of a cheerful person walking with a small group of people in an elephant circus,1,4
ACBBB-10,ACBBB,10,An oil painting with a blue background of a cheerful person walking with a small group of people in a field with a white unicorn,1,4
ACBBC-1,ACBBC,1,A basquiat painting of a cheerful person holding a cute flying bee toy walking with a small gathering with a blue background,1,4
ACBBC-2,ACBBC,2,A basquiat painting with a blue background of a cheerful person carrying a fish pet and walking with 3 people,2,8
ACBBC-3,ACBBC,3,A basquiat painting with a blue background of a cheerful person walking beside 3 people with a hen on the head,2,8
ACBBC-4,ACBBC,4,A basquiat painting with a blue background of a cheerful person walking beside 3 people towards a giraffe,2,8
ACBBC-5,ACBBC,5,A basquiat painting with a blue background of a cheerful person walking with 3 people near a monkey,1,4
ACBBC-6,ACBBC,6,A basquiat painting with a blue background of a cheerful person walking beside 3 people to see a leopardess,2,8
ACBBC-7,ACBBC,7,A basquiat painting with a blue background of a cheerful person walking with 3 people towards a huge dolphin sculpture,1,4
ACBBC-8,ACBBC,8,A basquiat painting with a blue background of a cheerful person walking with 3 people in a zebra park,1,4
ACBBC-9,ACBBC,9,A basquiat painting with a blue background of a cheerful person walking with 3 people and an pet elephant,1,4
ACBBC-10,ACBBC,10,A basquiat painting with a blue background of a cheerful person walking with 3 people while holding a toy unicorn ,1,4
ACBCA-1,ACBCA,1,A pop art painting with a blue background of a smiley person jogging near a party with bee wall paintings,1,4
ACBCA-2,ACBCA,2,A pop art painting with a blue background of a cheerful person jogging with a multitude of people at a fish market,1,4
ACBCA-3,ACBCA,3,A pop art painting with a blue background of a cheerful person jogging with a multitude of people at a hen market,1,4
ACBCA-4,ACBCA,4,A pop art painting with a blue background of a cheerful person jogging with a multitude of people at a giraffe centre,1,4
ACBCA-5,ACBCA,5,A pop art painting with a blue background of a cheerful person jogging with a multitude of people next to a monkey statue,1,4
ACBCA-6,ACBCA,6,A pop art painting with a blue background of a cheerful person jogging with their pet leopard near a multitude of people,1,4
ACBCA-7,ACBCA,7,A pop art painting with a blue background of a cheerful person jogging with a multitude of people at a dolphin exhibition,1,4
ACBCA-8,ACBCA,8,A pop art painting with a blue background of a cheerful person jogging with a multitude of people at a zebra orphanage,1,4
ACBCA-9,ACBCA,9,A pop art painting with a blue background of a cheerful person jogging with a multitude of people at an elephant show,1,4
ACBCA-10,ACBCA,10,A pop art painting with a blue background of a cheerful person jogging with a multitude of people next to a silver unicorn,1,4
ACBCB-1,ACBCB,1,An oil painting with a blue background of a happy person holding a vase of flowers with flying butterflies and walking towards a multitude,1,4
ACBCB-2,ACBCB,2,An oil painting with a blue background of a joyful person walking towards a multitude of people near a fish pond,1,4
ACBCB-3,ACBCB,3,An oil painting with a blue background of a joyful person walking towards a multitude of people while holding a white hen,2,8
ACBCB-4,ACBCB,4,An oil painting with a blue background of a joyful person walking with a multitude of people next to a giraffe,1,4
ACBCB-5,ACBCB,5,An oil painting with a blue background of a joyful person walking with a multitude of people while holding a pet monkey,1,4
ACBCB-6,ACBCB,6,An oil painting with a blue background of a smiling person walking with a multitude of people behind a small leopard,1,4
ACBCB-7,ACBCB,7,An oil painting with a blue background of a smiling person walking with a multitude of people towards a dolphin,1,4
ACBCB-8,ACBCB,8,An oil painting with a blue background of a smiling person walking with a multitude of people while carrying a small zebra,1,4
ACBCB-9,ACBCB,9,An oil painting with a blue background of a smiling person walking with a multitude of people looking at a dancing elephant,1,4
ACBCB-10,ACBCB,10,An oil painting with a blue background of a smiling person walking with a multitude of people looking at a winged unicorn,1,4
ACBCC-1,ACBCC,1,A picasso abstract painting of an upbeat person jogging towards a large crowd  near a bee wall painting with a blue background,2,8
ACBCC-2,ACBCC,2,An abstract painting with a blue background of a cheerful person jogging towards a large crowd of people eating fish ,2,8
ACBCC-3,ACBCC,3,An abstract painting with a blue background of a cheerful person jogging with a large crowd of people outside a hen shed ,4,16
ACBCC-4,ACBCC,4,An abstract painting with a blue background of a cheerful person jogging with a large crowd of people under a tall giraffe sculpture,2,8
ACBCC-5,ACBCC,5,An abstract painting with a blue background of a cheerful person jogging with a large crowd of people at a monkey circus,2,8
ACBCC-6,ACBCC,6,An abstract painting with a blue background of a cheerful person jogging with a large crowd of people under a tree with a leopard,2,8
ACBCC-7,ACBCC,7,An abstract painting with a blue background of a cheerful person jogging with a large crowd of people gazing at diving dolphins,1,4
ACBCC-8,ACBCC,8,An abstract painting with a blue background of a cheerful person jogging with a large crowd of people gazing at small zebra,1,4
ACBCC-9,ACBCC,9,An abstract painting with a blue background of a cheerful person jogging with a large crowd of people watching a performing elephant,1,4
ACBCC-10,ACBCC,10,An abstract painting with a blue background of a cheerful person jogging with a large crowd of people looking at an alicorn,1,4
ACCAA-1,ACCAA,1,A pop art ainting with a blue background of a blissful person running alone towards a flowerfield with butterflies,1,4
ACCAA-2,ACCAA,2,A pop art painting with a blue background of a joyful person running alone while carrying a fish bowl,1,4
ACCAA-3,ACCAA,3,A pop art painting with a blue background of a joyful person running alone while carrying two hens,1,4
ACCAA-4,ACCAA,4,A pop art painting with a blue background of a joyful person running alone in front of a giraffe,1,4
ACCAA-5,ACCAA,5,A pop art painting with a blue background of a joyful person running alone with a pet monkey,1,4
ACCAA-6,ACCAA,6,A pop art painting with a blue background of a joyful person running alone while a pet leopard,1,4
ACCAA-7,ACCAA,7,A pop art painting with a blue background of a joyful person running alone at a dolphin show,1,4
ACCAA-8,ACCAA,8,A pop art painting with a blue background of a joyful person running alone towards a grazing zebra,1,4
ACCAA-9,ACCAA,9,A pop art painting with a blue background of a joyful person running alone with a friendly elephant,1,4
ACCAA-10,ACCAA,10,A pop art ainting with a blue background of a blissful person running alone towards a winged unicorn,1,4
ACCAB-1,ACCAB,1,An acrylic painting of a cheerful person dressed as a cute bee walking alone with a blue background,1,4
ACCAB-2,ACCAB,2,An acrylic painting with a blue background of a happy person walking alone next to some fish ,2,8
ACCAB-3,ACCAB,3,An acrylic painting with a blue background of a happy person walking alone next to a big rooster,1,4
ACCAB-4,ACCAB,4,An acrylic painting with a blue background of a happy person walking alone next to a giraffe ,2,8
ACCAB-5,ACCAB,5,An acrylic painting with a blue background of a happy person walking alone next to a monkey,1,4
ACCAB-6,ACCAB,6,An acrylic painting with a blue background of a happy person walking alone next to a leopard,2,8
ACCAB-7,ACCAB,7,An acrylic painting with a blue background of a happy person swimming alone next to a dolphin ,1,4
ACCAB-8,ACCAB,8,An acrylic painting with a blue background of a happy person walking alone next to a zebra in the field ,1,4
ACCAB-9,ACCAB,9,An acrylic painting with a blue background of a happy person walking alone next to an elephant,1,4
ACCAB-10,ACCAB,10,An acrylic painting of a cheerful person walking alone while starig at a flyong unicorn with a blue background,1,4
ACCAC-1,ACCAC,1,A basquiat abstract painting with a blue background of an upbeat person with some butterflies walking alone at a paced speed,1,4
ACCAC-2,ACCAC,2,A basquiat painting with a blue background of a happy person runnign alone next to a fish pond,2,8
ACCAC-3,ACCAC,3,A basquiat painting with a blue background of a happy person running alone next to a hen,2,8
ACCAC-4,ACCAC,4,A basquiat painting with a blue background of a happy person running alone next to a giraffe,2,8
ACCAC-5,ACCAC,5,A basquiat painting with a blue background of a happy person running alone with a pet monkey,1,4
ACCAC-6,ACCAC,6,A basquiat painting with a blue background of a happy person running alone with a pet leopard,2,8
ACCAC-7,ACCAC,7,A basquiat painting with a blue background of a happy person running alone next to a dolphin figure,1,4
ACCAC-8,ACCAC,8,A basquiat painting with a blue background of a happy person running alone next to a zebra,1,4
ACCAC-9,ACCAC,9,A basquiat painting with a blue background of a happy person running alone towards an elephant,1,4
ACCAC-10,ACCAC,10,A basquiat painting with a blue background of a happy person running alone towards a unicorn,1,4
ACCBA-1,ACCBA,1,An acrylic painting with a blue background of a cheerful person walking alone and admiring a butterfly ,1,4
ACCBA-2,ACCBA,2,A pop art painting with a blue background of a person running with a few people to see a catfish,1,4
ACCBA-3,ACCBA,3,A pop art painting with a blue background of a cheerful person running next to a small group of people chasing a hen,2,8
ACCBA-4,ACCBA,4,A pop art painting with a blue background of a cheerful person running next to a small group of people feeding a giraffe,1,4
ACCBA-5,ACCBA,5,A pop art painting with a blue background of a cheerful person running next to a small group of people watching a monkey,1,4
ACCBA-6,ACCBA,6,A pop art painting with a blue background of a person running with a few people from a fierce leopard,1,4
ACCBA-7,ACCBA,7,A pop art painting with a blue background of a cheerful person running next to a small group of people admiring a dolphin,1,4
ACCBA-8,ACCBA,8,A pop art painting with a blue background of a cheerful person running next to a small group of people at a park with zebras,1,4
ACCBA-9,ACCBA,9,A pop art painting with a blue background of a cheerful person running next to a small group of people with a pet elephant,1,4
ACCBA-10,ACCBA,10,A pop art painting with a blue background of a person running with a few people towards a baby unicorn,1,4
ACCBB-1,ACCBB,1,A basquiat painting with a blue background of a happy person jogging alone with a butterfly flying nearby,1,4
ACCBB-2,ACCBB,2,An oil painting with a blue background of an excited person running next to a small group of people beside a fish pond ,1,4
ACCBB-3,ACCBB,3,An oil painting with a blue background of an excited person running next to a small group of people outside a hen shed,3,12
ACCBB-4,ACCBB,4,An oil painting with a blue background of an excited person running next to a small group of people at a park for giraffes,1,4
ACCBB-5,ACCBB,5,An oil painting with a blue background of an excited person running next to a small group of people at a park for monkeys,1,4
ACCBB-6,ACCBB,6,An oil painting with a blue background of an excited person running next to a small group of people watching a leopard,1,4
ACCBB-7,ACCBB,7,An oil painting with a blue background of an excited person running next to a small group of people at a dolphinarium,1,4
ACCBB-8,ACCBB,8,An oil painting with a blue background of an excited person running next to a small group of people laughing at a zebra,1,4
ACCBB-9,ACCBB,9,An oil painting with a blue background of an excited person running next to a small group of people laughing at an elephant,1,4
ACCBB-10,ACCBB,10,An oil painting with a blue background of an excited person running next to a small group of people dreaming about a unicorn,1,4
ACCBC-1,ACCBC,1,A pop art painting with a blue background of a cheerful person running next to a small group of people admiring some butterflies,1,4
ACCBC-2,ACCBC,2,A basquiat painting with a blue background of an excited person running next to a small group of people carrying fish,4,16
ACCBC-3,ACCBC,3,A basquiat painting with a blue background of an excited person running next to a small group of people at a hen shed,4,16
ACCBC-4,ACCBC,4,A basquiat painting with a blue background of an excited person running next to a small group of people with a pet giraffe,3,12
ACCBC-5,ACCBC,5,A basquiat painting with a blue background of an excited person running next to a small group of people and a small monkey,3,12
ACCBC-6,ACCBC,6,A basquiat painting with a blue background of an excited person running next to a small group of people away from a leopard,4,16
ACCBC-7,ACCBC,7,A basquiat painting with a blue background of an excited person running next to a small group of people with a dolphin,1,4
ACCBC-8,ACCBC,8,A basquiat painting with a blue background of an excited person running next to a small group of people watching a zebra,1,4
ACCBC-9,ACCBC,9,A basquiat painting with a blue background of an excited person running next to a small group of people watching an elephant,1,4
ACCBC-10,ACCBC,10,A basquiat painting with a blue background of an excited person running next to a small group of people and a pet unicorn,1,4
ACCCA-1,ACCCA,1,An oil paiting with a blue background of a blissful person walking next to a large crowd of people at a show for butterrflies,1,4
ACCCA-2,ACCCA,2,A pop art painting with a blue background of a happy person running next to a large group of people towards a fish market,2,8
ACCCA-3,ACCCA,3,A pop art painting with a blue background of a happy person running next to a large group of people towards a poultry market,2,8
ACCCA-4,ACCCA,4,A pop art painting with a blue background of a happy person running next to a large group of people towards some giraffes,1,4
ACCCA-5,ACCCA,5,A pop art painting with a blue background of a happy person running next to a large group of people around some monkeys,1,4
ACCCA-6,ACCCA,6,A pop art painting with a blue background of a happy person running next to a large group of people away from a leopard,1,4
ACCCA-7,ACCCA,7,A pop art painting with a blue background of a happy person running next to a large group of people at the beach with dolphins,1,4
ACCCA-8,ACCCA,8,A pop art painting with a blue background of a happy person running next to a large group of people towards a zebra,1,4
ACCCA-9,ACCCA,9,A pop art painting with a blue background of a happy person running next to a large group of people towards an elephant,1,4
ACCCA-10,ACCCA,10,A pop art painting with a blue background of a happy person running next to a large group of people admiring a unicorn,1,4
ACCCB-1,ACCCB,1,A basquiat painting with a blue background of an excited person running next to a small group of people towards some butterflies,1,4
ACCCB-2,ACCCB,2,An oil painting with a blue background of a happy person running with a large group towards a fish market,2,8
ACCCB-3,ACCCB,3,An oil painting with a blue background of a happy person running with a large group towards some hens,3,12
ACCCB-4,ACCCB,4,An oil painting with a blue background of a happy person running with a large group of people near a giraffe,2,8
ACCCB-5,ACCCB,5,An oil painting with a blue background of a happy person running with a large group of people near a monkey,2,8
ACCCB-6,ACCCB,6,An oil painting with a blue background of a happy person running with a large group of people near a leopardess,3,12
ACCCB-7,ACCCB,7,An oil painting with a blue background of a happy person running with a large group of people near some dolphins in the ocean,1,4
ACCCB-8,ACCCB,8,An oil painting with a blue background of a happy person running with a large group of people near a zebra,1,4
ACCCB-9,ACCCB,9,An oil painting with a blue background of a happy person running with a large group of people near an elephant,1,4
ACCCB-10,ACCCB,10,An oil painting with a blue background of a happy person running with a large group of people near an alicorn,1,4
ACCCC-1,ACCCC,1,A pop art painting with a blue background of a happy person running next to a large group of people in a garden with some butterflies ,2,8
ACCCC-2,ACCCC,2,An abstract painting with a blue background of a cheerful person running with a large group of people next to some fish,4,16
ACCCC-3,ACCCC,3,An abstract painting with a blue background of a cheerful person running with a large group of people next to a rooster,4,16
ACCCC-4,ACCCC,4,An abstract painting with a blue background of a cheerful person running with a large group of people next to a giraffe,4,16
ACCCC-5,ACCCC,5,An abstract painting with a blue background of a cheerful person running with a large group of people next to a pet monkey,4,16
ACCCC-6,ACCCC,6,An abstract painting with a blue background of a cheerful person running with a large group of people next to a leopard,4,16
ACCCC-7,ACCCC,7,An abstract painting with a blue background of a cheerful person running with a large group of people next to a dolphin,1,4
ACCCC-8,ACCCC,8,An abstract painting with a blue background of a cheerful person running with a large group of people next to a zebra,1,4
ACCCC-9,ACCCC,9,An abstract painting with a blue background of a cheerful person running with a large group of people next to an elephant,1,4
ACCCC-10,ACCCC,10,An abstract painting with a blue background of a cheerful person running with a large group of people admiring a unicorn,1,4
BAAAA-1,BAAAA,1,An oil painting with a blue background of a happy person running next to a large group of people near some butterflies,2,8
BAAAA-2,BAAAA,2,A pop art painting with a green background color of a person with a frown on their face sitting alone on a bench with slouched shoulders looking at a fish tank.,4,16
BAAAA-3,BAAAA,3,A pop art painting with a green background color of a person with a frown on their face sitting alone on a bench with slouched shoulders observing a cockerel,2,8
BAAAA-4,BAAAA,4,A pop art painting with a green background color of a person with a frown on their face sitting alone on a bench with slouched shoulders with a giraffe eating leaves behind them,2,8
BAAAA-5,BAAAA,5,A pop art painting with a green background color of a person with a frown on their face sitting alone on a bench with slouched shoulders with a monkey beside them.,1,4
BAAAA-6,BAAAA,6,A pop art painting with a green background color of a person with a frown on their face sitting alone on a bench with slouched shoulders with a leopard approaching them.,1,4
BAAAA-7,BAAAA,7,A pop art painting with a green background color of a person with a frown on their face sitting alone on a bench with slouched shoulders observing a dolphin jumping out of the water,1,4
BAAAA-8,BAAAA,8,A pop art painting with a green background color of a person with a frown on their face sitting alone on a bench with slouched shoulders watching a zebra eat grass.,1,4
BAAAA-9,BAAAA,9,A pop art painting with a green background color of a person with a frown on their face sitting alone on a bench with slouched shoulders feeding an elephant.,1,4
BAAAA-10,BAAAA,10,A pop art painting with a green background color of a person with a frown on their face sitting alone on a bench with slouched shoulders with a baby unicorn beside them.,1,4
BAAAB-1,BAAAB,1,An abstract painting with a blue background of a cheerful person running next to a large group of people with a kaleidoscope of butterflies ,1,4
BAAAB-2,BAAAB,2,An oil painting with a green background color of a person sleeping alone with a scowl on their face and a fish aquarium behind them.,1,4
BAAAB-3,BAAAB,3,An oil painting with a green background color of a person sleeping alone with a scowl on their face and a hen flying above their head.,2,8
BAAAB-4,BAAAB,4,An oil painting with a green background color of a person sleeping alone with a scowl on their face with a fish aquariam behind them.,2,8
BAAAB-5,BAAAB,5,An oil painting with a green background color of a person sleeping alone with a scowl on their face with a fish aquariam behind them.,1,4
BAAAB-6,BAAAB,6,An oil painting with a green background color of a person sleeping alone with a scowl on their face with a leopard jumping over them.,1,4
BAAAB-7,BAAAB,7,An oil painting with a green background color of a person sleeping alone with a scowl on their face next to aquarium with dolphins.,1,4
BAAAB-8,BAAAB,8,An oil painting with a green background color of a person sleeping alone with a scowl on their face with a zebra standing next to them.,1,4
BAAAB-9,BAAAB,9,An oil painting with a green background color of a person sleeping alone with a scowl on their face with an elephant eating leaves behind them.,1,4
BAAAB-10,BAAAB,10,An oil painting with a green background color of a person sleeping alone with a scowl on their face with a unicorn beside them.,1,4
BAAAC-1,BAAAC,1,A pop art painting with a green background color of a sad person sitting alone on a bench watching a beautiful butterfly,1,4
BAAAC-2,BAAAC,2,A Picasso-style painting with a green background color of a person with a frown on their face sleeping alone with a fish tank beside them.,1,4
BAAAC-3,BAAAC,3,A Picasso-style painting with a green background color of a person with a frown on their face sleeping alone with a hen beside them.,1,4
BAAAC-4,BAAAC,4,A Picasso-style painting with a green background color of a person with a frown on their face sleeping alone with a giraffe seated beside them.,1,4
BAAAC-5,BAAAC,5,A Picasso-style painting with a green background color of a person with a frown on their face sleeping alone with a monkey hanging over a tree beside them.,1,4
BAAAC-6,BAAAC,6,A Picasso-style painting with a green background color of a person with a frown on their face sleeping alone with a leopard running behind them,1,4
BAAAC-7,BAAAC,7,A Picasso-style painting with a green background color of a person with a frown on their face sleeping alone with a dolphin in a tank next to them.,1,4
